  Time                 , V(y1)                , V(y2)                
  9.975000000030e-02  ,7.889958962519e-01  ,1.145608390055e+00  
  9.975003873140e-02  ,7.721836393112e-01  ,1.144019175375e+00  
  9.975011619359e-02  ,7.383991378842e-01  ,1.140846006996e+00  
  9.975027111799e-02  ,6.701331430821e-01  ,1.134524125746e+00  
  9.975058096677e-02  ,5.313575658329e-01  ,1.121984650564e+00  
  9.975108097822e-02  ,3.044634710468e-01  ,1.102040212863e+00  
  9.975158098966e-02  ,7.959746676466e-02  ,1.082451420436e+00  
  9.975208100110e-02  ,-1.323332391076e-01  ,1.063215357713e+00  
  9.975258101255e-02  ,-3.112819439214e-01  ,1.044332146362e+00  
  9.975308102399e-02  ,-4.319463573597e-01  ,1.025803515864e+00  
  9.975358103544e-02  ,-4.795074996480e-01  ,1.007627641010e+00  
  9.975408104688e-02  ,-4.562655581785e-01  ,9.897973281483e-01  
  9.975458105833e-02  ,-3.722153064313e-01  ,9.723032874557e-01  
  9.975508106977e-02  ,-2.381473218306e-01  ,9.551364075158e-01  
  9.975558108121e-02  ,-6.550749160142e-02  ,9.382876261948e-01  
  9.975608109266e-02  ,1.340834949386e-01  ,9.217481287271e-01  
  9.975658110410e-02  ,3.502571878050e-01  ,9.055097513357e-01  
  9.975708111555e-02  ,5.747352532488e-01  ,8.895653890359e-01  
  9.975758112699e-02  ,8.005964988015e-01  ,8.739096134147e-01  
  9.975808113843e-02  ,1.019010998332e+00  ,8.593167941210e-01  
  9.975858114988e-02  ,1.197478078622e+00  ,8.995831651366e-01  
  9.975908116132e-02  ,1.344856907906e+00  ,1.028247206813e+00  
  9.975958117277e-02  ,1.449713273791e+00  ,1.152942279669e+00  
  9.976008118421e-02  ,1.465058266491e+00  ,1.204096151836e+00  
  9.976053413183e-02  ,1.410721726599e+00  ,1.204689265035e+00  
  9.976103414327e-02  ,1.296910967726e+00  ,1.186853333937e+00  
  9.976153415472e-02  ,1.140516500776e+00  ,1.165939355236e+00  
  9.976203416616e-02  ,9.520593282941e-01  ,1.145225081557e+00  
  9.976253417760e-02  ,7.417053663301e-01  ,1.124870028865e+00  
