  Time                 , V(C)                 , V(M)                 , V(y0)                , V(y1)                , V(y2)                , V(y3)                , V(y4)                
  9.900000000030e-02  ,1.508017177210e-07  ,4.712553678780e-09  ,1.018920452895e-01  ,3.071937455742e-01  ,5.955790225621e-01  ,9.349163059257e-02  ,1.138653196015e-01  
  9.900014610321e-02  ,7.337348459273e-02  ,2.294975723532e-03  ,1.053187404218e-01  ,2.418140358836e-01  ,5.861653036868e-01  ,8.407711227355e-02  ,1.134363722831e-01  
  9.900043830902e-02  ,2.185400854772e-01  ,6.884724347589e-03  ,1.110933700044e-01  ,1.093940870555e-01  ,5.681127439014e-01  ,6.602346498697e-02  ,1.123308604632e-01  
  9.900102272064e-02  ,4.917300202542e-01  ,1.606209433202e-02  ,1.152092952367e-01  ,-1.606177913734e-01  ,5.362465430565e-01  ,3.415787090534e-02  ,1.087967403265e-01  
  9.900219154388e-02  ,8.919274981366e-01  ,3.439750033131e-02  ,8.305719971022e-02  ,-6.756996153309e-01  ,4.860716146256e-01  ,-1.600710617337e-02  ,9.778463638534e-02  
  9.900375404388e-02  ,9.504264207274e-01  ,5.883177905999e-02  ,-2.874039518996e-03  ,-1.017111738707e+00  ,4.394982241769e-01  ,-6.255449444095e-02  ,7.792008034299e-02  
  9.900497341186e-02  ,5.985446723334e-01  ,7.780470166588e-02  ,-5.739089311504e-02  ,-8.482379659946e-01  ,4.136284261766e-01  ,-8.839798562116e-02  ,6.056703420620e-02  
  9.900619545013e-02  ,2.741632000859e-02  ,9.670461527827e-02  ,-9.289768153299e-02  ,-4.027098010697e-01  ,3.947190455688e-01  ,-1.072771671335e-01  ,4.232406492372e-02  
  9.900749015838e-02  ,-5.837759201469e-01  ,1.165723559463e-01  ,-1.062585447611e-01  ,1.484948511518e-01  ,3.788460481938e-01  ,-1.231162581972e-01  ,2.324596633234e-02  
  9.900886631042e-02  ,-9.674876827068e-01  ,1.374777204962e-01  ,-5.226252642910e-02  ,6.735429973814e-01  ,4.248062048263e-01  ,-7.712643908455e-02  ,7.361705995182e-03  
  9.900974588424e-02  ,-9.826728039250e-01  ,1.507073377278e-01  ,-7.253910907024e-03  ,8.109284760510e-01  ,5.366671421985e-01  ,3.473582015315e-02  ,6.312233423641e-03  
  9.901075639755e-02  ,-7.684594610173e-01  ,1.657637567228e-01  ,4.549645180707e-02  ,7.404074341702e-01  ,5.847568394557e-01  ,8.281453162697e-02  ,1.135870712421e-02  
